,ID,FLAG_OWN_CAR,FLAG_OWN_REALTY,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,AGE_YEARS,YEARS_EMPLOYED,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,GoodBorrower,Employed_period
0,5008804,1,1,1,0,32.89041096,12.44383562,0,18,2,1,12
1,5008805,1,1,1,0,32.89041096,12.44383562,0,18,2,1,12
2,5008806,1,1,4,1,58.83287671,3.106849315,0,16,2,1,3
3,5008808,0,1,4,3,52.35616438,8.35890411,1,14,1,1,8
4,5008809,0,1,4,3,52.35616438,8.35890411,1,14,1,1,8
5,5008810,0,1,4,3,52.35616438,8.35890411,1,14,1,1,8
6,5008811,0,1,4,3,52.35616438,8.35890411,1,14,1,1,8
7,5008812,0,1,1,2,61.54520548,-1000.665753,0,18,1,1,0
8,5008813,0,1,1,2,61.54520548,-1000.665753,0,18,1,1,0
9,5008814,0,1,1,2,61.54520548,-1000.665753,0,18,1,1,0
10,5008815,1,1,1,1,46.22465753,2.106849315,1,0,2,0,2
11,5112956,1,1,1,1,46.22465753,2.106849315,1,0,2,1,2
12,5008819,1,1,4,1,48.70684932,3.271232877,0,8,2,1,3
13,5008820,1,1,4,1,48.70684932,3.271232877,0,8,2,1,3
14,5008821,1,1,4,1,48.70684932,3.271232877,0,8,2,1,3
15,5008822,1,1,4,1,48.70684932,3.271232877,0,8,2,1,3
16,5008823,1,1,4,1,48.70684932,3.271232877,0,8,2,1,3
17,5008824,1,1,4,1,48.70684932,3.271232877,0,8,2,0,3
18,5008825,1,0,2,1,29.23013699,3.021917808,0,0,2,0,3
19,5008826,1,0,2,1,29.23013699,3.021917808,0,0,2,0,3
20,5008830,0,1,4,1,27.48219178,4.024657534,0,8,2,1,4
21,5008831,0,1,4,1,27.48219178,4.024657534,0,8,2,0,4
22,5008832,0,1,4,1,27.48219178,4.024657534,0,8,2,1,4
23,5008834,0,1,4,3,30.04931507,4.438356164,0,18,2,1,4
24,5008835,0,1,4,3,30.04931507,4.438356164,0,18,2,1,4
25,5008836,1,1,4,1,34.76438356,3.18630137,0,8,5,1,3
26,5008837,1,1,4,1,34.76438356,3.18630137,0,8,5,1,3
27,5008838,0,1,1,1,32.44383562,5.523287671,0,10,3,1,6
28,5008839,0,1,1,1,32.44383562,5.523287671,0,10,3,1,6
29,5008840,0,1,1,1,32.44383562,5.523287671,0,10,3,1,6
30,5008841,0,1,1,1,32.44383562,5.523287671,0,10,3,1,6
31,5008842,0,1,1,1,32.44383562,5.523287671,0,10,3,0,6
32,5008843,0,1,1,1,32.44383562,5.523287671,0,10,3,1,6
33,5008844,1,1,4,1,56.16986301,12.19178082,0,4,2,1,12
34,5008846,1,1,4,1,56.16986301,12.19178082,0,4,2,0,12
35,5008847,1,1,4,1,56.16986301,12.19178082,0,4,2,1,12
36,5008849,1,1,4,1,56.16986301,12.19178082,0,4,2,1,12
37,5008850,1,1,4,1,56.16986301,12.19178082,0,4,2,0,12
38,5008851,1,1,4,1,56.16986301,12.19178082,0,4,2,0,12
39,5008852,1,1,4,1,56.16986301,12.19178082,0,4,2,0,12
40,5008853,1,1,4,1,56.16986301,12.19178082,0,4,2,1,12
41,5008854,1,1,4,1,43.18082192,8.693150685,0,8,4,1,9
42,5008855,1,1,4,1,43.18082192,8.693150685,0,8,4,1,9
43,5008856,1,1,4,1,43.18082192,8.693150685,0,8,4,0,9
44,5008857,1,1,4,1,43.18082192,8.693150685,0,8,4,1,9
45,5008858,1,1,4,1,43.18082192,8.693150685,0,8,4,0,9
46,5008859,1,1,4,1,43.18082192,8.693150685,0,8,4,0,9
47,5008860,1,1,4,1,43.18082192,8.693150685,0,8,4,1,9
48,5008861,1,1,4,1,43.18082192,8.693150685,0,8,4,1,9
49,5008862,1,1,4,1,43.18082192,8.693150685,0,8,4,1,9
50,5008863,1,1,4,1,43.18082192,8.693150685,0,8,4,1,9
51,5008864,1,1,4,1,43.18082192,8.693150685,0,8,4,1,9
52,5008865,1,1,4,1,43.18082192,8.693150685,0,8,4,1,9
53,5008866,1,1,4,1,43.18082192,8.693150685,0,8,4,1,9
54,5008867,1,1,4,1,43.18082192,8.693150685,0,8,4,1,9
55,5112846,1,1,4,1,43.18082192,8.693150685,0,8,4,1,9
56,5008868,0,1,4,0,44.41643836,19.44931507,0,3,3,0,19
57,5008870,0,1,4,0,44.41643836,19.44931507,0,3,3,1,19
58,5008872,1,1,4,1,45.67123288,14.69589041,0,16,2,1,15
59,5008873,0,1,1,1,34.00273973,4.857534247,1,10,4,1,5
60,5008874,0,1,1,1,34.00273973,4.857534247,1,10,4,1,5
61,5008875,0,1,1,1,34.00273973,4.857534247,1,10,4,1,5
62,5008876,0,1,1,1,34.00273973,4.857534247,1,10,4,1,5
63,5008877,0,1,1,1,34.00273973,4.857534247,1,10,4,1,5
64,5008878,0,1,1,1,34.00273973,4.857534247,1,10,4,1,5
65,5008879,0,1,1,1,34.00273973,4.857534247,1,10,4,1,5
66,5008880,0,1,1,1,34.00273973,4.857534247,1,10,4,1,5
